,position,title,link,displayed_link,snippet,about_this_result,cached_page_link,related_results,related_pages_link,date,city,rich_snippet,missing,must_include,sitelinks,email,phone,contact_page,email_2,phone_2
10,11,Photographe Grossesse Naissance Rennes - Emeric Jezequel,https://www.emericjezequel.com/3-4.htm,https://www.emericjezequel.com,"Immortalisez ce qui vous est cher ! Studio Emeric Jezequel à Rennes, Photographe Grossesse, Portrait Nouveau-Né, Photo de Famille. Contact 06 78 37 22 19.","{'source': {'description': 'emericjezequel.com was first indexed by Google in December 2014', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f24b95e4534c8ee20054069017ad8b1bdc83e08b67ccec19b6374be4e1fd8d4e565ef0545a12dc14d3.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photo'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:Or3wZmzYu6UJ:https://www.emericjezequel.com/3-4.htm+&cd=16&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,_no email found,06 78 37 22 19,https://www.emericjezequel.com/contact,_no email found,06 78 37 22 19
11,12,Photographe de grossesse à Rennes - LePetitDernier,http://www.lepetitdernier.fr/,http://www.lepetitdernier.f,"Spécialisée en portraits, je me déplace sur Rennes et partout en Bretagne, pour des séances photos Grossesse, Naissance, Famille et Couple.","{'source': {'description': 'lepetitdernier.fr was first indexed by Google more than 10 years ago', 'security': 'not secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f23325522c5d491580c17a0052ce11b00181e9370fe97d9c1e392591d56d60f395cc98520c5474c322.jpeg'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'languages': ['English'], 'regions': ['the United States']}",http://webcache.googleusercontent.com/search?q=cache:Mwpae2nnQNEJ:www.lepetitdernier.fr/+&cd=17&hl=en&ct=clnk&gl=us,,https://www.google.com/search?q=related:www.lepetitdernier.fr/+Photographe+grossesse+naissance+%C3%A0+Rennes,,Rennes,,,,,_no email found,_no phone found,http://www.lepetitdernier.f/_broken link,_no email found,_no phone found
12,13,Séance photo naissance RENNES VOTRE PHOTOGRAPHE ...,https://www.facebook.com/AngelineCapriPhotographe/videos/s%C3%A9ance-photo-naissance-rennesvotre-photographe-grossesse-et-naissance-a-rennesje/397967694769364/,https://www.facebook.com,Séance photo naissance RENNES VOTRE PHOTOGRAPHE GROSSESSE ET NAISSANCE A RENNES Je vous reçois tous les jours de la semaine dans mon studio photo pour.,"{'source': {'description': 'Facebook is an American online social media and social networking service owned by Meta, Inc.. Founded in 2004 by Mark Zuckerberg with fellow Harvard College students and roommates Eduardo Saverin, ...', 'source_info_link': 'https://en.wikipedia.org/wiki/Facebook', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f2d45d9748b0685c40545ca17d71e0ea9346188a2c46f93e69ba72b8c91bc1888e898c1ddd6e828677.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photo'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:XPYtecBmS2sJ:https://www.facebook.com/AngelineCapriPhotographe/videos/s%25C3%25A9ance-photo-naissance-rennesvotre-photographe-grossesse-et-naissance-a-rennesje/397967694769364/+&cd=18&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,_no email found,_no phone found,https://www.facebook.com/_no contact page found,_no email found,_no phone found
13,14,"photographe grossesse, Rennes, Ille-et-Vilaine - Margot Carte",https://www.margotcarte.fr/grossesse,https://www.margotcarte.fr,"Bonjour, c'est Margot ! Photographe de grossesse, je vous accompagne à Rennes et aux alentours , je réalise des photos de grossesse naturelles et ...","{'source': {'description': 'margotcarte.fr was first indexed by Google in February 2020', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f289e6f6506a32422aab74d0ed522d26fabbc8cc1f6681881dbd553408b4e695f98cef07d020bfd944.jpeg'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:yElZcWV6JFYJ:https://www.margotcarte.fr/grossesse+&cd=19&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,margot.carte@orange.fr,_no phone found,https://www.margotcarte.fr/contact,margot.carte@orange.fr,06 68 88 83 68
14,15,Séance nouveau-né à Rennes - Isabelle Lechevallier ...,https://isabellelechevallier.fr/seances-photo/nouveau-ne/,https://isabellelechevallier.fr,Séance nouveau-né à Rennes - Séance naissance artistique et reportage. Séance au studio à Bréal sous Montfort. Photographe spécialisée dans la famille.,"{'source': {'description': 'isabellelechevallier.fr was first indexed by Google in March 2017', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f2170dda58005d3f38d0b059a98db7affa776adbc987ef4a9e0ff4b7dacb069f30a0edec8439930cbc.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photo'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:MArT_3ZRSKUJ:https://isabellelechevallier.fr/seances-photo/nouveau-ne/+&cd=20&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,contact@isabellelechevallier.fr,_no phone found,https://isabellelechevallier.fr/contact/,contact@isabellelechevallier.fr,06.19.27.19.70
15,16,Photographe Rennes Famille Bébé Grossesse - Studio ...,https://www.galeriegrenadine.com/photographe-rennes-famille-bebe-grossesse/,https://www.galeriegrenadine.com,"Photographe Rennes de Famille / Bébé / Grossesse en Bretagne, le Studio Grenadine vous assure un résultat photographique à 100%. satisfait ou remboursé !","{'source': {'description': 'galeriegrenadine.com was first indexed by Google more than 10 years ago', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f25137930aab9c8bf0fcddeaa6606eab6bd5aa7d89d2af946732a7d1196ff9dc47bf40d1e0cab51da3.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:m00R5sYdfMoJ:https://www.galeriegrenadine.com/photographe-rennes-famille-bebe-grossesse/+&cd=21&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,contact@galeriegrenadine.com,01 64 37 35 85,https://www.galeriegrenadine.com/_no contact page found,contact@galeriegrenadine.com,01 64 37 35 85
16,17,Séance photo grossesse à Rennes - Lucie Weis Photographe,https://www.lucieweis.com/seance-photo/grossesse/,https://www.lucieweis.com,"Future maman, vous souhaitez conserver de jolis souvenirs de votre ventre rond ? Contactez-moi pour une séance photo grossesse !","{'source': {'description': 'lucieweis.com was first indexed by Google in September 2014', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f271e91083c45a3454f97708a82adb1ff102d24e27d90e0d1329b15a6b5db023c978edf164ee45d0da.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photo'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:XU9vqxoia8gJ:https://www.lucieweis.com/seance-photo/grossesse/+&cd=22&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,_no email found,_no phone found,https://www.lucieweis.com/contact/,_no email found,_no phone found
17,18,Shooting Photo de Grossesse à Rennes - Sport Découverte,https://www.sport-decouverte.com/shooting-photo-grossesse-a-rennes.html,https://www.sport-decouverte.com,"Et pour ne pas oublier une fois la naissance de bébé passée, vous pouvez déjà prévoir le shooting photo avec votre nouveau-né. Vous allez aimer : Le regard ...","{'source': {'description': 'sport-decouverte.com was first indexed by Google more than 10 years ago', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f255564a8347491fa170a159235fa807000eeb5fd0246fe616cbe09599ba0da73e7c79779b4bb846e1.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photo'], 'languages': ['English'], 'regions': ['the United States']}",,,,,Rennes,,,,,_no email found,_no phone found,https://www.sport-decouverte.com/contact.html,_no email found,_no phone found
18,19,portrait – future maman - Rennes - David FERRIERE,https://davidferriere.com/projects/photographe-rennes-portrait-grossesse-femme-enceinte-future-maman/,https://davidferriere.com,20171107-david-ferriere-studio-photo-rennes-portrait-de-future-maman-grossesse-femme-enceinte-futurs-parents-5.,"{'source': {'description': 'davidferriere.com was first indexed by Google more than 10 years ago', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f21004ebc557afba5b99ed112cb8b83ecfda8a29632d31a8f9ec06b1d2e99c1fcb50908008ad3e91ea.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photo', 'enceinte'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:LRx0VL9lyo0J:https://davidferriere.com/projects/photographe-rennes-portrait-grossesse-femme-enceinte-future-maman/+&cd=24&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,info@davidferriere.com,06 80 33 29 27,https://davidferriere.com/contact/,info@davidferriere.com,06 80 33 29 27
19,20,Photographe Maternité Rennes - Photo de Naissance,https://www.sillaphotographie.fr/photographe-maternite--rennes/1-11.htm,https://www.sillaphotographie.fr,Vous souhaitez faire appel à un photographe pros à Rennes pour la naissance de votre enfant ? Silla Photographie se déplace en maternité ou à domicile.,"{'source': {'description': 'sillaphotographie.fr was first indexed by Google in November 2018', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f2ba228df8ad8a354b3f8e75da7313b9138827d2f9841d0c24afe8196e27b34ab11c44926c202852ad.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photo', 'photographie', 'maternite'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:PZzbIFKXmGwJ:https://www.sillaphotographie.fr/photographe-maternite--rennes/1-11.htm+&cd=25&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,_no email found,06 27 63 09 55,https://www.sillaphotographie.fr/contact,_no email found,06 27 63 09 55
20,21,Photographe Nouveau-né et Maternité à Rennes Ille et Vilaine ...,https://jemalovephotographie.fr/about/,https://jemalovephotographie.fr,"Derrière Jema Love Photographie, se cache une petite Bretonne, maman de 4 enfants ! “Jema”, c'est d'ailleurs le mélange des 4 premières lettres des prénoms ...","{'source': {'description': 'jemalovephotographie.fr was first indexed by Google in April 2014', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f27efbb2e5d52e7e554c83fb2ae29de32e57f7a38dc188f0cb96cfe164ae9d854adc70c6a8024cc87d.jpeg'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photographie'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:GN68oOOOBZ8J:https://jemalovephotographie.fr/about/+&cd=26&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,_no email found,_no phone found,https://jemalovephotographie.fr/contact/,jacques@martin.com,0111213141
21,22,Photographe de grossesse & naissance - Aladom,https://www.aladom.fr/photographe/rennes-35/photographe-de-grossesse-naissance-80h3,https://www.aladom.fr,"Photographe de grossesse & naissance ... PREMIERS INSTANTS est situé à Rennes ... Bonjour, Etant une photographe amatrice de Rennes, je vous propose mes ...","{'source': {'description': 'aladom.fr was first indexed by Google more than 10 years ago', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f22f893b3072be88af050c579bdd082282aaddea84dd0abd4d6748babe2b6c09c558a3ea7e3a879da5.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:sv58FtlKKbkJ:https://www.aladom.fr/photographe/rennes-35/photographe-de-grossesse-naissance-80h3+&cd=27&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,_no email found,_no phone found,https://www.aladom.fr/_no contact page found,_no email found,_no phone found
22,23,"photographe mariage, maternité, nouveau-né à Rennes et ...",https://lilypop-photographie.com/,https://lilypop-photographie.co,"Photographe de mariage, maternité, nouveau-né à Rennes. Un regard naturel et décalé, basé sur les émotions.Spécialisée dans le reportage et le portrait.","{'source': {'description': 'lilypop-photographie.com was first indexed by Google in October 2016', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f2b6f34318ddd2cb0b023d42f798493b7d0cb313728dad12a15218d5a55e14abed797141269d1c6041.png'}, 'keywords': ['photographe', 'naissance', 'rennes'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:z7mx1NnNz9gJ:https://lilypop-photographie.com/+&cd=28&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,_no email found,_no phone found,https://lilypop-photographie.co/_broken link,_no email found,_no phone found
23,24,Photographie professionnelle à Rennes - Angeline Capri,https://www.angelinecapri.fr/qui-suis-je,https://www.angelinecapri.fr,"Je suis Angeline Capri, photographe à Rennes depuis 10 ans. ... photographe specialisee grossesse nouveau ne bebe enfant rennes ille et vilaine bretagne 01 ...","{'source': {'description': 'angelinecapri.fr was first indexed by Google in November 2015', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f263e105ef9fa5932a4c648b3386123890f70a66f0d54e2616a300478736e123f0439d8f8468d5754f.jpeg'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'related_keywords': ['photographie'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:tYOI_H0UCeIJ:https://www.angelinecapri.fr/qui-suis-je+&cd=29&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,_no email found,_no phone found,https://www.angelinecapri.fr/contact,_no email found,_no phone found
24,25,Lise Beaufils Photographe Mariage & Portrait | Rennes ...,https://www.lisebeaufils.com/,https://www.lisebeaufils.co,"Lise Beaufils Photographe basée à Chantepie, Rennes (35) Ille-et-Vilaine - Bretagne - Mariage, Portrait, Couple, Grossesse, Naissance, Famille...","{'source': {'description': 'lisebeaufils.com was first indexed by Google in April 2017', 'security': 'secure', 'icon': 'https://serpapi.com/searches/6187e8f666d81f660716589a/images/19f9d53965c6837806b7eb04721d60f2ea91ad0bb0c394cb2dbbc799eb264f47c35f993e10975ffc14bfed27879260ba535d12a4172cff0f.png'}, 'keywords': ['photographe', 'grossesse', 'naissance', 'rennes'], 'languages': ['English'], 'regions': ['the United States']}",https://webcache.googleusercontent.com/search?q=cache:KMwhfK72r6kJ:https://www.lisebeaufils.com/+&cd=30&hl=en&ct=clnk&gl=us,,,,Rennes,,,,,_no email found,_no phone found,https://www.lisebeaufils.co/_broken link,_no email found,_no phone found
